1,0.6,0.49,0.47,0.21,0.06,0.13,0.13
0.6,1,0.79,0.5,0.4,0.18,0.22,0.16
0.49,0.79,1,0.43,0.46,0.28,0.33,0.15
0.47,0.5,0.43,1,0.41,0.21,0.17,0.16
0.21,0.4,0.46,0.41,1,0.29,0.27,0.19
0.06,0.18,0.28,0.21,0.29,1,0.26,0.04
0.13,0.22,0.33,0.17,0.27,0.26,1,0.14
0.13,0.16,0.15,0.16,0.19,0.04,0.14,1
