SESSION,HEIGHT,LAT,LONG,Height4,Height8,Height12
92,30,-30.626578,151.565418,30,22.5,21.6
92,32,-30.626552,151.565407,32,24,23.04
92,20,-30.6265,151.565385,20,15,16.2
92,20,-30.626475,151.565373,20,15,16.2
92,20,-30.626453,151.565363,20,15,16.2
92,28,-30.62643,151.565358,28,21,20.16
92,18,-30.626408,151.565365,18,14.4,14.58
92,10,-30.626392,151.565383,10,8,8.1
92,10,-30.626383,151.565413,10,8,8.1
92,40,-30.626387,151.565445,40,24,23.04
92,22,-30.626398,151.565472,22,16.5,17.82
92,26,-30.62642,151.565487,26,19.5,18.72
92,26,-30.626443,151.565498,26,19.5,18.72
92,22,-30.626528,151.56554,22,16.5,17.82
92,28,-30.626558,151.565552,28,21,20.16
92,20,-30.62659,151.565563,20,15,16.2
92,22,-30.626622,151.565578,22,16.5,17.82
92,20,-30.626653,151.56559,20,15,16.2
92,24,-30.626687,151.565603,24,18,17.28
92,22,-30.626718,151.565617,22,16.5,17.82
92,26,-30.626748,151.565628,26,19.5,18.72
92,30,-30.626778,151.565642,30,22.5,21.6
92,24,-30.626807,151.565653,24,18,17.28
92,30,-30.626833,151.565663,30,22.5,21.6
92,28,-30.62686,151.565673,28,21,20.16
92,20,-30.626887,151.565685,20,15,16.2
92,22,-30.626913,151.565692,22,16.5,17.82
92,22,-30.626938,151.5657,22,16.5,17.82
92,24,-30.626965,151.56571,24,18,17.28
92,32,-30.626997,151.56572,32,24,23.04
92,28,-30.627035,151.565733,28,21,20.16
92,36,-30.62711,151.565765,36,27,19.44
92,38,-30.627145,151.56578,38,28.5,20.52
92,26,-30.62718,151.56579,26,19.5,18.72
92,26,-30.627212,151.56579,26,19.5,18.72
92,16,-30.627242,151.565783,16,12.8,12.96
92,22,-30.627267,151.565767,22,16.5,17.82
92,16,-30.627282,151.565743,16,12.8,12.96
92,16,-30.627288,151.565713,16,12.8,12.96
92,22,-30.627283,151.565688,22,16.5,17.82
92,18,-30.627265,151.565663,18,14.4,14.58
92,26,-30.627243,151.565642,26,19.5,18.72
92,30,-30.627218,151.56563,30,22.5,21.6
92,26,-30.627193,151.56562,26,19.5,18.72
92,24,-30.627168,151.56561,24,18,17.28
92,22,-30.627143,151.5656,22,16.5,17.82
92,26,-30.627118,151.56559,26,19.5,18.72
92,22,-30.627092,151.56558,22,16.5,17.82
92,22,-30.627065,151.56557,22,16.5,17.82
92,26,-30.62704,151.56556,26,19.5,18.72
92,30,-30.627012,151.565553,30,22.5,21.6
92,20,-30.626983,151.565545,20,15,16.2
92,20,-30.626957,151.565538,20,15,16.2
92,22,-30.626928,151.565528,22,16.5,17.82
92,26,-30.626902,151.565518,26,19.5,18.72
92,26,-30.62687,151.56551,26,19.5,18.72
92,14,-30.62684,151.565498,14,11.2,11.34
92,16,-30.626813,151.565485,16,12.8,12.96
92,18,-30.626788,151.565473,18,14.4,14.58
92,20,-30.626763,151.565462,20,15,16.2
92,22,-30.626737,151.56545,22,16.5,17.82
92,16,-30.626675,151.565442,16,12.8,12.96
92,26,-30.626648,151.565432,26,19.5,18.72
92,22,-30.626627,151.56542,22,16.5,17.82
92,24,-30.626602,151.565408,24,18,17.28
92,22,-30.626577,151.565397,22,16.5,17.82
92,24,-30.626552,151.565385,24,18,17.28
92,14,-30.626528,151.565375,14,11.2,11.34
92,16,-30.626507,151.565362,16,12.8,12.96
92,18,-30.626482,151.565353,18,14.4,14.58
92,22,-30.626458,151.565348,22,16.5,17.82
92,40,-30.626437,151.565352,40,24,23.04
92,32,-30.626425,151.565362,32,24,23.04
92,34,-30.626418,151.565378,34,25.5,18.36
92,24,-30.626417,151.565402,24,18,17.28
92,16,-30.626418,151.565423,16,12.8,12.96
92,16,-30.626432,151.565442,16,12.8,12.96
92,20,-30.626455,151.565453,20,15,16.2
92,24,-30.626482,151.565463,24,18,17.28
92,26,-30.626505,151.565475,26,19.5,18.72
92,22,-30.62653,151.565487,22,16.5,17.82
92,24,-30.626557,151.565498,24,18,17.28
92,26,-30.626585,151.56551,26,19.5,18.72
92,28,-30.626612,151.565523,28,21,20.16
92,20,-30.62664,151.565535,20,15,16.2
92,24,-30.626668,151.565547,24,18,17.28
92,26,-30.626697,151.565557,26,19.5,18.72
92,24,-30.626723,151.565568,24,18,17.28
92,28,-30.62675,151.565578,28,21,20.16
92,26,-30.626777,151.56559,26,19.5,18.72
92,20,-30.626802,151.5656,20,15,16.2
92,20,-30.626848,151.565622,20,15,16.2
92,28,-30.626873,151.565633,28,21,20.16
92,24,-30.626898,151.565645,24,18,17.28
92,28,-30.626925,151.565655,28,21,20.16
92,32,-30.626955,151.565668,32,24,23.04
