dataResourceUid,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,species,provenance
dr368,2016-05-21T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-11-29T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-11-08T00:00:00Z,-30.484594,151.643553,EPSG:4326,-30.48459446,151.6435533,GDA94,Phascolarctos cinereus,Published dataset
dr368,2020-10-14T00:00:00Z,-30.495214,151.688632,EPSG:4326,-30.49521394,151.6886322,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-01-22T00:00:00Z,-30.501486,151.639754,EPSG:4326,-30.5014863,151.6397545,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-09T00:00:00Z,-30.500494,151.638879,EPSG:4326,-30.50049421,151.6388792,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-08-08T00:00:00Z,-30.507641,151.692829,EPSG:4326,-30.507641,151.6928287,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-01-04T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-05-08T00:00:00Z,-30.489483,151.638561,EPSG:4326,-30.48948288,151.6385609,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-04-17T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-01-08T00:00:00Z,-30.491689,151.679891,EPSG:4326,-30.49168944,151.6798914,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-01T00:00:00Z,-30.539656,151.652459,EPSG:4326,-30.53965559,151.6524591,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-12-10T00:00:00Z,-30.522573,151.666567,EPSG:4326,-30.5225734,151.6665673,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-08-04T00:00:00Z,-30.495952,151.665894,EPSG:4326,-30.49595208,151.6658941,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-01T00:00:00Z,-30.539656,151.652459,EPSG:4326,-30.53965554,151.6524591,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-01T00:00:00Z,-30.501319,151.639415,EPSG:4326,-30.501319,151.639415,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-10T00:00:00Z,-30.502205,151.641111,EPSG:4326,-30.50220471,151.6411106,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-12-01T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-01-28T00:00:00Z,-30.531973,151.661885,EPSG:4326,-30.53197347,151.6618851,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-07-28T00:00:00Z,-30.529687,151.652834,EPSG:4326,-30.52968713,151.6528343,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-08-03T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-07-01T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-07T00:00:00Z,-30.523935,151.647929,EPSG:4326,-30.52393488,151.6479291,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-12-14T00:00:00Z,-30.497263,151.683056,EPSG:4326,-30.49726274,151.6830559,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-03-27T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2019-01-14T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-10-18T00:00:00Z,-30.499888,151.637997,EPSG:4326,-30.49988822,151.6379967,GDA94,Phascolarctos cinereus,Published dataset
dr368,2019-01-07T00:00:00Z,-30.489953,151.64102,EPSG:4326,-30.4899535,151.6410199,GDA94,Phascolarctos cinereus,Published dataset
dr368,2011-07-12T00:00:00Z,-30.489953,151.64102,EPSG:4326,-30.4899535,151.6410199,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-11-05T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-04-21T00:00:00Z,-30.524257,151.644734,EPSG:4326,-30.52425692,151.6447338,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-12-12T00:00:00Z,-30.501079,151.694689,EPSG:4326,-30.50107946,151.6946889,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-08-27T00:00:00Z,-30.489953,151.64102,EPSG:4326,-30.4899535,151.6410199,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-04-03T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-12-10T00:00:00Z,-30.506765,151.635452,EPSG:4326,-30.50676471,151.6354522,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-08-22T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2019-05-25T00:00:00Z,-30.510803,151.637264,EPSG:4326,-30.51080262,151.6372644,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-23T00:00:00Z,-30.492684,151.642292,EPSG:4326,-30.49268433,151.6422917,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-09-27T00:00:00Z,-30.491412,151.68047,EPSG:4326,-30.49141168,151.6804696,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-11-14T00:00:00Z,-30.492689,151.691862,EPSG:4326,-30.49268888,151.6918616,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-04-04T00:00:00Z,-30.501487,151.63964,EPSG:4326,-30.50148686,151.6396396,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-08-04T00:00:00Z,-30.495952,151.665894,EPSG:4326,-30.49595212,151.6658941,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-11-22T00:00:00Z,-30.507385,151.693595,EPSG:4326,-30.50738463,151.6935945,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-10-21T00:00:00Z,-30.50538,151.681205,EPSG:4326,-30.50537994,151.6812052,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-21T00:00:00Z,-30.501372,151.639382,EPSG:4326,-30.50137222,151.6393816,GDA94,Phascolarctos cinereus,Published dataset
dr368,2011-03-03T00:00:00Z,-30.495046,151.701532,EPSG:4326,-30.49504568,151.7015322,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-01-09T00:00:00Z,-30.524561,151.643137,EPSG:4326,-30.52456063,151.643137,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-10-16T00:00:00Z,-30.492674,151.679562,EPSG:4326,-30.4926739,151.6795622,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-05-04T00:00:00Z,-30.50814,151.650088,EPSG:4326,-30.50814003,151.6500878,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-11-22T00:00:00Z,-30.507385,151.693594,EPSG:4326,-30.50738459,151.6935945,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-11-02T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-03-04T00:00:00Z,-30.527389,151.648078,EPSG:4326,-30.52738893,151.6480783,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-09-04T00:00:00Z,-30.524569,151.637229,EPSG:4326,-30.52456947,151.6372292,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-10-25T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-02-06T00:00:00Z,-30.524334,151.642648,EPSG:4326,-30.52433377,151.6426483,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-07-31T00:00:00Z,-30.529663,151.660726,EPSG:4326,-30.52966296,151.6607262,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-22T00:00:00Z,-30.490457,151.682745,EPSG:4326,-30.49045705,151.6827453,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-07-11T00:00:00Z,-30.496068,151.642985,EPSG:4326,-30.49606791,151.6429849,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-11-06T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-02T00:00:00Z,-30.523669,151.646618,EPSG:4326,-30.52366864,151.6466178,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-11-06T00:00:00Z,-30.503011,151.649649,EPSG:4326,-30.50301128,151.6496485,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-12-10T00:00:00Z,-30.533238,151.656184,EPSG:4326,-30.53323828,151.6561845,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-09-03T00:00:00Z,-30.470638,151.670577,EPSG:4326,-30.47063834,151.6705774,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-12-19T00:00:00Z,-30.500585,151.680338,EPSG:4326,-30.5005848,151.6803383,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-09-18T00:00:00Z,-30.489557,151.681307,EPSG:4326,-30.48955723,151.6813074,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-08-05T00:00:00Z,-30.501691,151.63951,EPSG:4326,-30.501691,151.6395095,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-08-20T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-06-18T00:00:00Z,-30.471157,151.63448,EPSG:4326,-30.47115679,151.6344804,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-10-27T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-05-17T00:00:00Z,-30.514255,151.630667,EPSG:4326,-30.51425492,151.6306667,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-02-06T00:00:00Z,-30.500342,151.640027,EPSG:4326,-30.50034197,151.6400273,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-04-09T00:00:00Z,-30.486842,151.640998,EPSG:4326,-30.48684215,151.6409983,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-08-08T00:00:00Z,-30.507844,151.692721,EPSG:4326,-30.50784353,151.6927214,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-05-04T00:00:00Z,-30.50814,151.650088,EPSG:4326,-30.50813999,151.6500878,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-03-25T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-08-12T00:00:00Z,-30.524591,151.660201,EPSG:4326,-30.52459096,151.660201,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-01-30T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-11T00:00:00Z,-30.501347,151.639388,EPSG:4326,-30.50134657,151.6393877,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-22T00:00:00Z,-30.487384,151.611344,EPSG:4326,-30.4873837,151.6113443,GDA94,Phascolarctos cinereus,Published dataset
dr368,2012-09-05T00:00:00Z,-30.524884,151.643911,EPSG:4326,-30.52488419,151.6439105,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-10T00:00:00Z,-30.501303,151.639404,EPSG:4326,-30.50130281,151.6394037,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-06-26T00:00:00Z,-30.509021,151.67547,EPSG:4326,-30.50902053,151.67547,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-11T00:00:00Z,-30.501435,151.639737,EPSG:4326,-30.50143547,151.6397371,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-10T00:00:00Z,-30.493878,151.653984,EPSG:4326,-30.49387788,151.653984,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-07T00:00:00Z,-30.495354,151.665785,EPSG:4326,-30.49535391,151.665785,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-08-26T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-09-21T00:00:00Z,-30.524957,151.643493,EPSG:4326,-30.52495656,151.6434925,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-05-05T00:00:00Z,-30.494322,151.690129,EPSG:4326,-30.49432218,151.6901288,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-03-21T00:00:00Z,-30.498182,151.673217,EPSG:4326,-30.49818174,151.673217,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-07-31T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-01-27T00:00:00Z,-30.47443,151.621511,EPSG:4326,-30.47442952,151.6215113,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-03T00:00:00Z,-30.524171,151.646248,EPSG:4326,-30.52417136,151.646248,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-11-04T00:00:00Z,-30.494313,151.689906,EPSG:4326,-30.49431296,151.6899063,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-12-10T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-27T00:00:00Z,-30.531042,151.65926,EPSG:4326,-30.53104178,151.6592601,GDA94,Phascolarctos cinereus,Published dataset
dr368,2011-03-03T00:00:00Z,-30.495046,151.701532,EPSG:4326,-30.49504572,151.7015322,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-11-04T00:00:00Z,-30.494313,151.689906,EPSG:4326,-30.494313,151.6899063,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-24T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-11T00:00:00Z,-30.524359,151.642849,EPSG:4326,-30.52435858,151.6428487,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-04T00:00:00Z,-30.511585,151.600655,EPSG:4326,-30.5115854,151.6006548,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-06-01T00:00:00Z,-30.512864,151.666701,EPSG:4326,-30.5128641,151.6667014,GDA94,Phascolarctos cinereus,Published dataset
dr368,2017-06-06T00:00:00Z,-30.486983,151.645145,EPSG:4326,-30.48698259,151.6451448,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-12-01T00:00:00Z,-30.498422,151.644415,EPSG:4326,-30.49842198,151.6444149,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-08-13T00:00:00Z,-30.4893,151.685856,EPSG:4326,-30.4893002,151.6858557,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-10T00:00:00Z,-30.492994,151.641226,EPSG:4326,-30.49299386,151.6412263,GDA94,Phascolarctos cinereus,Published dataset
dr368,2012-10-01T00:00:00Z,-30.530071,151.661582,EPSG:4326,-30.5300712,151.6615818,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-01-08T00:00:00Z,-30.496147,151.680909,EPSG:4326,-30.49614733,151.6809093,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-10-21T00:00:00Z,-30.501372,151.639382,EPSG:4326,-30.50137218,151.6393816,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-06-23T00:00:00Z,-30.484187,151.662559,EPSG:4326,-30.48418677,151.6625594,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-20T00:00:00Z,-30.521728,151.648974,EPSG:4326,-30.52172845,151.648974,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-12-05T00:00:00Z,-30.507582,151.693365,EPSG:4326,-30.50758224,151.6933653,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-11-25T00:00:00Z,-30.501403,151.639402,EPSG:4326,-30.50140306,151.6394023,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-12-14T00:00:00Z,-30.498139,151.67323,EPSG:4326,-30.49813915,151.6732298,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-02-04T00:00:00Z,-30.493263,151.676291,EPSG:4326,-30.49326316,151.6762906,GDA94,Phascolarctos cinereus,Published dataset
dr368,2012-09-06T00:00:00Z,-30.529388,151.672403,EPSG:4326,-30.52938846,151.6724033,GDA94,Phascolarctos cinereus,Published dataset
